100;60798;65466;19707;14165;1974;792;4711;9931;42536;27325;7576;27563;4311;3621;
200;241618;260962;41144;29583;4021;1592;9576;16531;114480;92444;16635;63298;9630;8478;
300;542450;586494;62623;44959;6170;2392;14126;23131;209800;195559;24286;101921;15267;16179;
400;963238;1042056;84137;64485;8404;3192;18811;29731;327768;334425;35894;142585;21603;19323;
500;1504058;1627552;105574;79903;10451;3992;23676;36331;465872;511544;42696;183344;27714;21504;
600;2164890;2343084;127053;95279;12600;4792;28226;42931;627808;726659;52213;227719;33951;35955;
700;2945678;3188646;148567;114805;14834;5592;32911;49531;810432;977525;64760;272917;40293;36105;
800;3846498;4164142;170004;130223;16881;6392;37776;56131;1013144;1266644;77457;318064;46998;43470;
900;4867330;5269674;191483;145599;19030;7192;42326;62731;1235896;1593759;85152;363559;53835;61233;
1000;6008118;6505236;212997;165125;21264;7992;47011;69331;1478752;1956625;91604;408425;60777;48783;
1100;7268938;7870732;234434;180543;23311;8792;51876;75931;1744824;2357744;102553;456374;67488;81492;
1200;8649770;9366264;255913;195919;25460;9592;56426;82531;2032024;2796859;112260;505337;74325;79101;
1300;10150558;10991826;277427;215445;27694;10392;61111;89131;2339344;3271725;125573;554937;81267;74799;
1400;11771378;12747322;298864;230863;29741;11192;65976;95731;2666672;3784844;139594;604060;87978;80610;
1500;13512210;14632854;320343;246239;31890;11992;70526;102331;3014112;4335959;154308;653497;94815;94773;
1600;15372998;16648416;341857;265765;34124;12792;75211;108931;3381496;4922825;165924;702667;101757;96495;
1700;17353818;18793912;363294;281183;36171;13592;80076;115531;3768856;5547944;172172;752494;108468;111966;
1800;19454650;21069444;384773;296559;38320;14392;84626;122131;4176400;6211059;182427;801389;115605;133509;
1900;21675438;23475006;406287;316085;40554;15192;89311;128731;4603872;6909925;187387;850903;123147;141069;
2000;24016258;26010502;427724;331503;42601;15992;94176;135331;5051512;7647044;197314;900584;130458;109566;
2100;26477090;28676034;449203;346879;44750;16792;98726;141931;5521288;8422159;209189;951323;137895;168405;
2200;29057878;31471596;470717;366405;46984;17592;103411;148531;6013056;9233025;219276;1004855;145437;176547;
2300;31758698;34397092;492154;381823;49031;18392;108276;155131;6525000;10082144;230763;1058330;152748;184476;
2400;34579530;37452624;513633;397199;51180;19192;112826;161731;7056856;10969259;240747;1111473;160185;172587;
2500;37520318;40638186;535147;416725;53414;19992;117511;168331;7608880;11892125;256403;1164929;167727;179727;
2600;40581138;43953682;556584;432143;55461;20792;122376;174931;8180896;12853244;270007;1218156;175038;165204;
2700;43761970;47399214;578063;447519;57610;21592;126926;181531;8772856;13852359;283412;1270711;182475;171735;
2800;47062758;50974776;599577;467045;59844;22392;131611;188131;9384952;14887225;298426;1324395;190017;177867;
2900;50483578;54680272;621014;482463;61891;23192;136476;194731;10017016;15960344;315214;1378204;197328;200394;
3000;54024410;58515804;642493;497839;64040;23992;141026;201331;10669232;17071459;328965;1431191;204765;207429;
3100;57685198;62481366;664007;517365;66274;24792;145711;207931;11341432;18218325;340492;1484031;212307;205563;
3200;61466018;66576862;685444;532783;68321;25592;150576;214531;12033400;19403444;354303;1536804;219618;212202;
3300;65366850;70802394;706923;548159;70470;26392;155126;221131;12745432;20626559;360380;1589913;227055;218997;
3400;69387638;75157956;728437;567685;72704;27192;159811;227731;13477520;21885425;367362;1643779;234597;244437;
3500;73528458;79643452;749874;583103;74751;27992;164676;234331;14229704;23182544;377805;1697202;241908;251604;
3600;77789290;84258984;771353;598479;76900;28792;169226;240931;15002008;24517659;389570;1750701;249345;288855;
3700;82170078;89004546;792867;618005;79134;29592;173911;247531;15794112;25888525;394620;1804039;256887;297015;
3800;86670898;93880042;814304;633423;81181;30392;178776;254131;16606352;27297644;401429;1857692;264198;304926;
3900;91291730;98885574;835783;648799;83330;31192;183326;260731;17438656;28744759;410783;1910659;271635;237117;
4000;96032518;104021136;857297;668325;85564;31992;188011;267331;18291032;30227625;421826;1964071;279177;242895;
4100;100893330;109286608;878706;683521;87543;32792;192711;273931;19163728;31748610;433319;2018004;286404;353508;
