100;76488;78942;65466;64944
200;308902;314812;260962;259894
300;699102;712440;586494;584844
400;1249326;1268220;1042056;1039794
500;1945438;1988446;1627552;1624744
600;2795802;2859882;2343084;2339694
700;3798414;3882864;3188646;3184644
800;4954558;5077570;4164142;4159594
900;6293862;6469356;5269674;5264544
1000;7794972;7978194;6505236;6499494
1100;9443974;9657946;7870732;7864444
1200;11250564;11492166;9366264;9359394
1300;13185186;13475652;10991826;10984344
1400;15267976;15609748;12747322;12739294
1500;17469960;17925072;14632854;14624244
1600;19878816;20360298;16648416;16639194
1700;22428964;23059024;18793912;18784144
1800;25167732;25847532;21069444;21059094
1900;28032276;28777020;23475006;23464044
2000;31040986;31970356;26010502;25998994
2100;34245318;35270064;28676034;28663944
2200;37573638;38781702;31471596;31458894
2300;41078824;42408268;34397092;34383844
2400;44724624;46211778;37452624;37438794
2500;48512292;50154546;40638186;40623744
2600;52407046;54303712;43953682;43938694
2700;56563236;58509552;47399214;47383644
2800;60854094;62810466;50974776;50958594
2900;65352106;67367728;54680272;54663544
3000;69940290;72064380;58515804;58498494
3100;74685924;76948770;62481366;62463444
3200;79626280;81968056;66576862;66558394
3300;84624258;87114930;70802394;70783344
3400;89796570;92414736;75157956;75138294
3500;95107276;97922410;79643452;79623244
3600;100642032;103527822;84258984;84238194
3700;106338114;109322910;89004546;88983144
3800;112048180;115383208;93880042;93858094
3900;118092336;121589850;98885574;98863044
4000;124219080;127924908;104021136;103997994
4100;130462834;134462440;109286608;109262944
