100;23279;25601;27563;27794
200;52977;59014;63298;63820
300;82013;94458;101921;102782
400;116419;132812;142585;143368
500;148420;171962;183344;184846
600;183412;213459;227719;228796
700;220443;254329;272917;274226
800;257888;297079;318064;319064
900;290006;340473;363559;364128
1000;325096;384550;408425;409696
1100;361506;430359;456374;457244
1200;400594;476101;505337;505530
1300;444480;521451;554937;555618
1400;481396;566895;604060;604030
1500;518771;612834;653497;653526
1600;555802;657710;702667;700290
1700;595060;705483;752494;751976
1800;635963;754229;801389;800990
1900;674897;802232;850903;850812
2000;716269;850451;900584;894874
2100;751335;897483;951323;951440
2200;792804;946426;1004855;1004542
2300;836669;996310;1058330;1057984
2400;879314;1042063;1111473;1111478
2500;922526;1093644;1164929;1165130
2600;964868;1144470;1218156;1218974
2700;1007775;1195128;1270711;1271880
2800;1048626;1243662;1324395;1325892
2900;1092993;1291852;1378204;1378956
3000;1127246;1344027;1431191;1433456
3100;1169260;1394419;1484031;1487232
3200;1207207;1444823;1536804;1540758
3300;1252225;1497160;1589913;1593678
3400;1294115;1546866;1643779;1648264
3500;1337035;1598982;1697202;1701816
3600;1379713;1650028;1750701;1755968
3700;1424480;1701411;1804039;1809328
3800;1465544;1753825;1857692;1863170
3900;1503336;1805897;1910659;1916562
4000;1548357;1857015;1964071;1971356
4100;1592801;1909111;2018004;2024980
