100;2813;3184;268;139
200;10984;12151;523;230
300;25715;26536;821;386
400;54775;56496;1088;492
500;77738;88145;1347;614
600;108076;117147;1623;779
700;682310;376543;1877;851
800;203242;323631;1633;964
900;468299;1654894;2213;1094
1000;635905;236112;1298;535
1100;668157;309840;2401;586
1200;545922;391178;3358;1398
1300;1246524;910736;1691;702
1400;820241;371344;1968;740
1500;1296563;2186177;3318;1464
1600;830896;990692;4405;1837
1700;1050396;1055862;4611;2026
1800;1540646;5178477;4894;2171
1900;1098051;1632008;5162;2232
2000;1118636;826420;6469;1033
2100;5377872;2186982;5519;2452
2200;1506992;6469826;5446;2306
2300;1371598;2162056;7668;2622
2400;5930831;2104827;6076;2623
2500;1104514;6623038;6990;3136
2600;1837756;2035005;5567;2354
2700;7903739;2169680;7136;3022
2800;5568916;3415188;11072;4116
2900;6648896;3459842;7105;3107
3000;2138128;6901649;7855;3400
3100;7430504;2467614;3929;1588
3200;7539617;3727480;8084;4367
3300;8108085;8374705;8775;5290
3400;3431427;8484902;8340;3709
3500;8994681;9246124;8966;3758
3600;3752549;9635550;10894;4266
3700;8762962;9509159;11847;3611
3800;9292971;9966915;10328;4607
3900;9618752;9731046;9828;4282
4000;3752493;11984386;21462;3090
4100;7445743;11417411;5200;2055
