100;1177;1705;847;671
200;2699;4292;1966;1633
300;5086;6872;2933;2422
400;10646;14990;4442;3680
500;7903;16718;10031;4962
600;10551;22646;10333;5610
700;12014;26180;8228;7292
800;13594;54418;10215;8109
900;25293;45162;22605;12423
1000;26319;47366;12281;11047
1100;19821;52718;14506;12462
1200;22131;64770;15593;13251
1300;24071;100680;16718;20935
1400;29509;4824999;17386;16858
1500;27802;106909;20559;21966
1600;44748;201339;26985;17921
1700;32250;107738;23391;19851
1800;37059;374207;27888;20081
1900;37549;580026;141454;22218
2000;38736;420277;28410;25176
2100;45278;269479;30059;16776
2200;105965;142746;203912;18565
2300;116873;282660;16668;14321
2400;105097;200962;36323;29434
2500;55982;237073;31745;22938
2600;36610;467865;18612;16932
2700;47913;200549;19360;16664
2800;38954;196877;22170;26357
2900;47060;206370;59263;23504
3000;52184;207400;26902;25581
3100;53525;215510;26630;25019
3200;52663;237756;29520;24323
3300;58739;3057210;44942;40660
3400;81133;291634;50470;47462
3500;150095;314649;53210;46848
3600;97277;308062;53221;45364
3700;94158;848722;51518;63373
3800;107190;665614;34144;28109
3900;94941;334057;34553;38868
4000;83312;331662;65162;29392
4100;95894;322867;65395;41857
